#numMotions
8
#motionIndex
0 0
#motionName
rest rest
#numFrames
799 799
#minListSize
138
#i j distance theta x0 z0
478 70 1725.19 1.7545 -2.00992 -0.0569362
475 70 1725.23 1.75729 -2.01009 -0.0568445
456 70 1725.26 1.76401 -2.01127 -0.0561013
471 70 1725.28 1.7595 -2.01034 -0.0567183
451 70 1725.38 1.76228 -2.01162 -0.0559109
488 70 1725.55 1.74752 -2.00939 -0.0570871
440 70 1726.49 1.75272 -2.01238 -0.0556715
498 70 1726.72 1.74539 -2.00903 -0.0572415
524 70 1726.9 1.75429 -2.00873 -0.0583367
520 70 1726.9 1.75258 -2.00873 -0.0580751
507 70 1727.08 1.74725 -2.00885 -0.0574981
513 70 1727.11 1.74963 -2.00877 -0.0577089
530 70 1727.12 1.75505 -2.00875 -0.0587974
548 70 1729.09 1.75457 -2.00897 -0.0598625
558 70 1729.39 1.75223 -2.00924 -0.0602198
573 70 1729.73 1.75145 -2.00972 -0.060383
759 69 1730.06 1.70013 -1.98308 -0.0798039
587 70 1730.36 1.75309 -2.01032 -0.0605019
342 69 1731.2 1.65057 -1.98463 -0.0653966
348 69 1731.32 1.66563 -1.98485 -0.0658567
330 68 1731.69 1.5958 -1.95263 -0.0658148
334 68 1731.76 1.60872 -1.95291 -0.0664263
302 68 1732.08 1.51966 -1.94937 -0.0636698
322 68 1732.11 1.56612 -1.95185 -0.064555
318 68 1732.11 1.55412 -1.95133 -0.0641103
307 68 1732.12 1.52769 -1.94997 -0.0635743
314 68 1732.16 1.54315 -1.95081 -0.063791
311 68 1732.16 1.53611 -1.95045 -0.0636623
374 70 1733.94 1.7226 -2.01591 -0.0617445
695 70 1734.25 1.71573 -2.01706 -0.0625393
700 70 1734.3 1.71581 -2.01707 -0.0629823
0 68 1734.73 1.63171 -1.94469 -0.0893934
728 70 1735.61 1.72099 -2.01662 -0.0676101
715 70 1735.74 1.71882 -2.01696 -0.0649987
654 70 1736.72 1.72874 -2.01503 -0.0607287
647 70 1736.9 1.73215 -2.01454 -0.0605888
643 70 1736.94 1.73459 -2.01433 -0.060545
663 70 1737.05 1.72592 -2.01567 -0.0609331
666 70 1737.13 1.72504 -2.0159 -0.061014
103 68 1740.12 1.57804 -1.95121 -0.0815815
110 68 1740.47 1.57669 -1.95162 -0.0811587
115 68 1740.54 1.57707 -1.95187 -0.0808578
144 68 1741.15 1.56608 -1.95301 -0.0784498
136 68 1741.19 1.57236 -1.9528 -0.0793655
128 68 1741.19 1.57743 -1.95247 -0.0801921
50 68 1743.66 1.61578 -1.94748 -0.0866431
74 68 1745.42 1.59182 -1.94923 -0.0840074
242 39 1820.91 1.64761 -1.04862 -0.148213
0 39 1844.99 1.73395 -1.05565 -0.244796
101 39 1846.45 1.68621 -1.05568 -0.194782
759 39 1853.04 1.80595 -1.07664 -0.303679
489 39 1864.13 1.82217 -1.07573 -0.301337
498 39 1864.38 1.82004 -1.07491 -0.299513
506 39 1864.59 1.82205 -1.07524 -0.301603
513 39 1864.66 1.82466 -1.07578 -0.304287
524 39 1864.93 1.83043 -1.07718 -0.310277
531 39 1864.99 1.83121 -1.0774 -0.311542
479 39 1865.05 1.82919 -1.07799 -0.307749
425 39 1866.1 1.81428 -1.07828 -0.292705
429 39 1866.1 1.81832 -1.07886 -0.296364
707 39 1866.71 1.81285 -1.08116 -0.299034
701 39 1867.08 1.81102 -1.08081 -0.296629
557 39 1867.51 1.82731 -1.07687 -0.309246
450 39 1867.62 1.84059 -1.08274 -0.317236
456 39 1867.92 1.84265 -1.08287 -0.319373
570 39 1868.05 1.82649 -1.07706 -0.308653
624 39 1873.97 1.82786 -1.08053 -0.310033
630 39 1874.13 1.827 -1.08084 -0.309181
634 39 1874.23 1.82606 -1.08097 -0.308257
#motionIndex
0 3
#motionName
rest punch_strike
#numFrames
799 1854
#minListSize
468
#i j distance theta x0 z0
417 1822 147.675 2.27953 -1.61955 0.305624
426 1822 147.737 2.28416 -1.61708 0.304258
423 1822 147.752 2.28242 -1.61797 0.304825
440 1822 147.924 2.29266 -1.61271 0.30094
436 1822 147.935 2.29042 -1.61383 0.301869
450 1822 148.084 2.29638 -1.6107 0.299167
454 1822 148.105 2.2969 -1.61024 0.298801
462 1822 148.185 2.2966 -1.60984 0.298569
470 1822 148.512 2.29471 -1.61001 0.299042
498 1822 149.961 2.28246 -1.61302 0.303387
505 1822 150.319 2.28051 -1.61358 0.303924
518 1822 150.948 2.27786 -1.61437 0.304343
536 1822 151.45 2.27697 -1.61475 0.303349
551 1823 151.722 2.2798 -1.61488 0.301869
609 1822 151.809 2.27052 -1.61994 0.304474
620 1822 151.824 2.26687 -1.6221 0.305916
614 1822 151.84 2.2691 -1.62081 0.305043
634 1822 151.914 2.25945 -1.626 0.308878
631 1822 151.917 2.26113 -1.62512 0.308201
577 1823 151.927 2.27842 -1.61624 0.302029
573 1823 151.928 2.27868 -1.61596 0.301943
569 1823 151.944 2.27898 -1.6157 0.301841
624 1822 151.947 2.26487 -1.62311 0.306726
599 1823 151.974 2.27579 -1.61822 0.302789
582 1823 151.977 2.27799 -1.61661 0.302128
641 1822 151.987 2.25491 -1.62826 0.310632
586 1823 151.988 2.27764 -1.6169 0.302211
592 1823 152.037 2.27671 -1.61748 0.302492
663 1822 152.666 2.2392 -1.63561 0.316161
413 1779 153.15 2.14664 -1.6524 0.350484
440 1778 153.19 2.16096 -1.64461 0.346355
436 1778 153.285 2.15896 -1.64574 0.347132
428 1779 153.292 2.15413 -1.64809 0.348589
450 1778 153.293 2.16413 -1.64265 0.344894
454 1778 153.327 2.16467 -1.64216 0.34454
432 1778 153.344 2.15665 -1.64705 0.347969
461 1778 153.486 2.16475 -1.64169 0.344219
